XCoord;YCoord;NR;ADRESSE;TIEFE_M;GOK;AUFNDATUM;HERKUNFT;PHI;LAMBDA
1718039,16;5952724,019;2013;Lagerg.12/16(L14);1,6;347,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,065208;15,433409
1721415,678;5952763,909;3998;Plüddemanng./Koßg. (P46);3,4;367,399994;31.12.1899;Stadt Graz - Stadtvermessung;47,065453;15,46374
1717398,379;5952719,52;1935;Oeverseeg.1-Westseite(O1/1);1,85;348,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,065178;15,427652
1718487,91;5952733,611;1560;Zimmerplatzg. 15-Nordostecke (ZP3);22,1;348,200012;31.12.1899;Stadt Graz - Stadtvermessung;47,065266;15,43744
1717157,45;5952719,651;1753;Kindermanng.38;1,63;350;31.12.1899;Stadt Graz - Stadtvermessung;47,065182;15,425488
1718285,254;5952732,744;1557;Roseggerkai/GKK (ROSKAI/GKK);28;349;31.12.1899;Stadt Graz - Stadtvermessung;47,065262;15,435619
1717045,622;5952721,285;2041;Idlhofg.97;1,95;351,200012;31.12.1899;Stadt Graz - Stadtvermessung;47,065189;15,424483
1719044,519;5952744,416;1616;Jakoministr.23;1,2;351,299988;31.12.1899;Stadt Graz - Stadtvermessung;47,065331;15,44244
1719758,098;5952752,562;3584;Kronesg. 8a;0,8;353,399994;31.12.1899;Stadt Graz - Stadtvermessung;47,06538;15,44885
1717422,322;5952727,149;1936;Oeverseeg.1-Ostseite (O1/3);1;348,5;31.12.1899;Stadt Graz - Stadtvermessung;47,065228;15,427867
1718928,135;5952746,022;1584;Schönaug.15;1,6;351,399994;01.01.1988;Stadt Graz - Stadtvermessung;47,065342;15,441394
1718046,317;5952738,803;2012;Lagerg.12;1,6;347,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,065296;15,433473
1719841,105;5952759,386;3606;Kopernikusg. 18;3,1;353,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,065422;15,449595
1719272,849;5952755,849;1644;Klosterwiesg.22;2,4;352,200012;31.12.1899;Stadt Graz - Stadtvermessung;47,065403;15,44449
1719041,024;5952754,666;1615;Jakoministr.24;1,2;351,299988;31.12.1899;Stadt Graz - Stadtvermessung;47,065395;15,442409
1719628,742;5952761,38;3557;Münzgrabenstr. 9;2,6;352,5;31.12.1899;Stadt Graz - Stadtvermessung;47,065437;15,447688
1720093,229;5952766,658;4526;Kopernikusgasse 27;5;355,399994;12.09.2002;Stadt Graz - Stadtvermessung;47,065468;15,45186
1717644,92;5952740,028;1948;Albert-Schweitzer-G.19;1,8;348,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,065304;15,429867
1719172,115;5952760,577;1626;Grazbachg. 26;4;352;31.12.1899;Stadt Graz - Stadtvermessung;47,06543;15,443585
1719201,535;5952763,854;1627;Grazbachg.35;2,2;352,200012;31.12.1899;Stadt Graz - Stadtvermessung;47,065453;15,443851
1720159,083;5952774,755;4610;Petersgasse/Schörgelgasse;20,5;360,600006;10.07.2002;Stadt Graz - Stadtvermessung;47,065517;15,452452
1720203,041;5952775,253;4611;Petersgasse/Schörgelgasse;16;360,299988;11.07.2002;Stadt Graz - Stadtvermessung;47,065521;15,452847
