XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT2;KAT3;HERKUNFT;PHI;LAMBDA
1720875,20970000;5953254,17240000;29;Amt für Wohnungsangelegenheiten - A21;Schillerplatz 4;8010;Graz;+43(0)316/872-5401;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,068451;15,458885
1716439,83440000;5953664,13150000;30;Stadtvermessungsamt - A10/6;Europaplatz 20;8020;Graz;+43(0)316/872-4101;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,070961;15,419042
1716461,32080000;5953668,82970000;31;Abteilung für Verkehrsplanung - A10/8;Europaplatz 20;8020;Graz;+43(0)316/872-2881;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,070988;15,419234
1719110,27410000;5953449,04740000;32;Abteilung für Liegenschaftsverkehr - A8/4;Tummelplatz 9;8010;Graz;+43(0)316/872-2901;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,069645;15,443030
1718633,94280000;5953094,30660000;33;Abteilung für Liegenschaftsverwaltung - A8/5;Kaiserfeldgasse 17;8010;Graz;+43(0)316/872-4500;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,067474;15,438751
1716448,71490000;5953675,14660000;34;Stadtbaudirektion - A10;Europaplatz 20;8020;Graz;+43(0)316/872-3500;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,071026;15,419121
1716386,67270000;5953673,88800000;35;Straßenamt - A10/1;Europaplatz 20;8020;Graz;+43(0)316/872-3601;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,071018;15,418564
1716398,09010000;5953665,89050000;36;Kanalbauamt - A10/2;Europaplatz 20;8020;Graz;+43(0)316/872-3703;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,070969;15,418667
1719100,60170000;5953442,12250000;37;Abteilung für Grünraum & Gewässer - A10/5;Tummelplatz 9;8010;Graz;+43(0)316/872-4001;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,069599;15,442944
1720408,90050000;5949774,51180000;38;Sportamt - A13;Stadionplatz 1;8041;Graz;+43(0)316/872-7878;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,047157;15,454696
1716436,12330000;5953681,83310000;39;Stadtplanungsamt - A14;Europaplatz 20;8020;Graz;+43(0)316/872-4701;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,071068;15,419008
1716406,74270000;5953677,69500000;40;Bau- und Anlagenbehörde - A17;Europaplatz 20;8020;Graz;+43(0)316/872-5001;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,071041;15,418744
1716457,39910000;5953684,55330000;41;Stadtbauamt;Europaplatz 20;8020;Graz;+43(0)316/872;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,071083;15,419199
1718923,51200000;5953221,64440000;42;Umweltamt - A23;Kaiserfeldgasse 1;8010;Graz;+43(0)316/872-4301;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,068253;15,441353
1719119,29260000;5953455,63500000;43;Stadtrechnungshof;Tummelplatz 9;8010;Graz;+43(0)316/872-6001;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,069683;15,443111
1718611,67640000;5953609,24090000;44;Grazer UnternehmensfinanzierungsGmbH;Hauptplatz 1;8010;Graz;+43(0)316/;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,070625;15,438551
1718695,64760000;5952817,73560000;45;Grazer Parkraum Service - GPS;Keesgasse 6;8010;Graz;+43(0)316/872-7561;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,065781;15,439305
1716446,60310000;5953913,86070000;46;Servicestelle Bahnhofgürtel;Bahnhofgürtel 85/I.OG (Annenpassage);8020;Graz;+43(0)316/872-6630;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,072487;15,419102
1718575,32320000;5953592,40520000;47;Magistrat Graz - Rathaus;Hauptplatz 1;8010;Graz;+43(0)316/;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,070522;15,438225
1718659,15750000;5952797,98280000;48;Bezirksschulrat;Wielandgasse 7;8010;Graz;+43(0)316/345-654;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,065659;15,438978
1719688,00270000;5950879,55870000;49;Servicestelle Conrad-von-Hötzendorfstraße;Conrad-von-Hötzendorf-Straße 104;8010;Graz;+43(0)316/872-6680;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,053921;15,448220
1722573,02850000;5950990,80910000;50;Servicestelle St.-Peter-Hauptstraße;St.-Peter-Hauptstraße 85;8042;Graz;+43(0)316/872-6670;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,054600;15,474136
1718118,19300000;5952907,54640000;51;Grazer Bau- u. Grünlandsicherungs-GesmbH - GBG;Brückenkopfgasse 1;8020;Graz;+43(0)316/;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,066330;15,434118
