XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT3;HERKUNFT;PHI;LAMBDA
1716823,39540000;5952699,92900000;31;Jugendgästehaus;Idlhofgasse 74;8020;Graz;+4305/7083-210;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,065060;15,422487
1718615,23560000;5953120,73840000;32;Kinderfreunde Steiermark;Kaiserfeldgasse 22/1;8010;Graz;+43(0)316/825512-22;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,067635;15,438583
1718352,99140000;5952536,40280000;33;Kinderfreunde Jakomini;Friedrichgasse 24/Augarten No;8010;Graz;+43(0)316/822075;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,064060;15,436228
1719472,97590000;5949392,15210000;34;Jugendzentrum Am Grünanger;Andersengasse 32;8010;Graz;+43(0)676/4362122;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,044815;15,446288
1716915,69330000;5959312,67940000;35;ABC Andritzer Begegnungszentrum;Haberlandtweg 17;8045;Graz;+43(0)316/692588;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,105507;15,423316
1718850,79490000;5954166,81780000;36;Kinder- und Jugendbeteiligung;Karmeliterplatz 2;8010;Graz;+43(0)316/90370-110;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,074036;15,440700
1720244,69300000;5948368,03090000;37;Street Coaching;Ziehrerstraße 80;8041;Graz;+43(0)676/848575;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,038548;15,453221
1719211,22630000;5954875,62990000;38;Pfadfindergruppe Graz 2;Geidorfplatz 1;8010;Graz;+43(0);Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,078373;15,443937
1718422,75740000;5955241,36740000;39;Pfadfindergruppe Graz 3;Muchargasse 14;8010;Graz;+43(0)699/17600671;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,080608;15,436854
1716523,61100000;5956956,31790000;40;Pfadfindergruppe Graz 5;Überfuhrgasse 48a;8020;Graz;+43(0)316/681500;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,091099;15,419794
1720358,39030000;5954553,67140000;41;Pfadfindergruppe Graz 11;Strassoldogasse 3a;8010;Graz;+43(0)664/4130287;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,076401;15,454243
1717777,90490000;5955024,01900000;42;Aktion Spielbus;Lendkai 89a;8020;Graz;+43(0)316/714368;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,079277;15,431062
1719624,21190000;5952395,49590000;43;Naturschutzjugend;Brockmanngasse 53;8010;Graz;+43(0)650/8020200;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,063198;15,447647
1719476,19110000;5953214,88710000;44;Evangelische Jugend Steiermark;Kaiser-Josef-Platz 9;8010;Graz;+43(0)316/822316;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,068211;15,446318
1719671,38730000;5952926,13430000;45;Jugendzentrum Dietrichkeuschn;Dietrichsteinplatz 9;8010;Graz;+43(0)316/813290;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,066444;15,448071
1722333,61800000;5952176,32040000;46;Pfadfindergruppe Graz 1;St.-Peter-Pfarrweg 35;8010;Graz;+43(0);Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,061855;15,471986
1718850,79490000;5954166,81780000;47;Steir.Dachverband der offenen Jugendarbeit;Karmeliterplatz 2;8010;Graz;+43(0)316/90 370-121;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,074036;15,440700
1718852,57870000;5953733,14880000;48;Kinderland;Mehlplatz 2/II;8010;Graz;+43(0)316/829070;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,071381;15,440716
1720888,03290000;5954151,67040000;49;Kispibu - Spielmobil;Pappenheimgasse 8;8010;Graz;+43(0)676/7081758;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,073940;15,459001
1720237,48710000;5953174,97380000;50;Caritas-Kindererholung;Raimundgasse 16;8010;Graz;+43(0)316/8015-226;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,067966;15,453156
